question,opa,opb,opc,opd,ope,cop
"A 55 year old man has diarrhoea and weight loss for 9 months. He has an intensely itchy red rash on his buttocks and thighs. Investigations: Haemoglobin 108 g/L (130–175) Blood film: anisocytosis. Which is the most likely histological appearance on small bowel biopsy?","Hyperplasia of Brunner’s glands","Increased intraepithelial macrophages","Increased lymphocytes in submucosa","Ulceration","Villous atrophy","Villous atrophy"
"A 26 year old woman is asking for strong pain relief for her abdominal pain and is seen in the Emergency Department. She has no significant past medical history. She looks malnourished. She is restless and irritable. Her temperature is 37.1°C. Which non-prescribed substance is the most important to enquire about in this presentation?","Alcohol","Amphetamines","Cannabis","Cocaine","Heroin","Heroin"
"A 74 year old man has painless jaundice and pale faeces for 1 week. He has lost 4 kg in weight in 3 months. His temperature is 37.4°C, pulse rate 90 bpm, BP 138/76 mmHg, respiratory rate 18 breaths per minute. His sclera and skin are yellow. Chest and abdominal examinations are normal. Which is the most appropriate investigation?","CT scan of abdomen","Endoscopic retrograde cholangio-pancreatography","MR cholangio-pancreatography","PET scan of abdomen","Ultrasound scan of the abdomen","CT scan of abdomen"
"A 26 year old woman has taken an overdose of paracetamol and is seen in the Emergency Department. She says the overdose was impulsive and now regrets taking the tablets. Investigations: Paracetamol level below treatment line for N-acetylcysteine. Which is the most appropriate course of action?","Admit to psychiatric ward from the Emergency Department","Assessment by liaison psychiatry in Emergency Department","Discharge home with GP follow-up","Prescribe antidepressant medication","Refer for cognitive behavioural therapy (CBT)","Assessment by liaison psychiatry in Emergency Department"
"A 75 year old woman has sudden onset left-sided chest pain and breathlessness for 1 hour. She also had one episode of haemoptysis. She had a total hip replacement for a fractured neck of femur 3 days ago and is on the orthopaedic ward. Her temperature is 37.2°C, pulse rate 100 bpm, BP 132/78 mmHg, respiratory rate 22 breaths per minute and oxygen saturation 92% breathing air. Chest examination is normal. Which is the most appropriate diagnostic investigation?","Arterial blood gases","Chest X-ray","CT pulmonary angiogram","D-dimer","ECG","CT pulmonary angiogram"
"A 48 year old man has moderate epigastric pain for 2 days and is seen at his GP surgery. He had a duodenal ulcer 6 months ago and was treated with Helicobacter pylori eradication therapy. Which is the most appropriate test to confirm Helicobacter pylori eradication?","C13 urea breath test","Faecal Helicobacter antigen","Gastric aspirate urease test","Helicobacter pylori serology","Repeat endoscopy and biopsy","C13 urea breath test"
"An 18 year old man has visual disturbance after he was punched in the face. He has double vision when he looks upwards. He has a left periorbital haematoma and enophthalmos. Which is the most likely site of fracture?","Ethmoid","Frontal bone","Maxilla","Nasal bones","Sphenoid","Maxilla"
"An 18 year old woman has blurred vision for 24 hours and is seen in the Emergency Department. She has increased thirst and drinks 4 litres of water a day. She has lost 10 kg's in weight in 6 weeks. Her temperature is 37.2°C, pulse rate 100 bpm, BP 90/50 mmHg, respiratory rate 30 breaths per minute and oxygen saturation 98% breathing air. Which is the most important initial investigation?","Arterial blood gases","Blood cultures","Capillary glucose","Full blood count","Serum electrolytes","Capillary glucose"
"A 78 year old man has low back pain for 6 weeks and is seen in his GP surgery. There is no history of trauma. He has not taken any analgesia for his pain. He takes no regular prescription medication. He has previously been treated for polymyalgia rheumatica. His BMI is 22 kg/m² and his temperature is 37.4 °C. There is bony tenderness over his lumbar spine. There is no radiation of pain. Neurological examination is normal. Investigations: Haemoglobin 78 g/L (130–175) ESR 98 mm/hr (<20) Which is the most likely diagnosis?","Discitis","Mechanical back pain","Multiple myeloma","Osteoporotic wedge fracture","Recurrence of polymyalgia rheumatica","Multiple myeloma"
"An 8 week old boy has worsening vomiting for 3 weeks. He is feeding well and is constantly hungry but is losing weight. He has wet nappies and no diarrhoea. His pulse rate is 110 bpm, respiratory rate 24 breaths per minute and oxygen saturation 98% breathing air. Which is the most likely acid base state?","Metabolic acidosis","Metabolic alkalosis","Normal acid/base state","Respiratory acidosis","Respiratory alkalosis","Metabolic alkalosis"
"A 27 year old woman has a small area of redness on her right breast for 4 weeks. A course of antibiotics, given 3 weeks ago, slightly improved the redness. She has had similar episodes before. She has a red superficial tender lump at the edge of her right areola and 0.5 mL of greenish fluid is aspirated. Which is the most likely diagnosis?","Breast abscess","Breast cancer","Duct papilloma","Paget's disease","Periductal mastitis","Periductal mastitis"
"A 93 year old woman is in hospital having completed treatment for a urinary tract infection. She has mild dementia. She lives alone. She is medically fit for discharge and is keen to go home but her daughter is unhappy about this course of action. Which is the most appropriate next step?","Arrange for an assessment by an independent advocate","Assess patient's mental capacity to decide about her discharge","Contact local psychiatry team for assessment","Discharge to a nursing home","Keep in hospital until daughter agrees","Assess patient's mental capacity to decide about her discharge"
"A 30 year old man took an overdose of 45 paracetamol 500 mg tablets 10 hours ago and is seen in the Emergency Department. His GCS is 15/15. His temperature is 37.0°C, pulse rate 80 bpm, BP 120/70 mmHg, respiratory rate 15 breaths per minute and oxygen saturation 99% breathing air. Blood for paracetamol level has been taken. Which is the most appropriate initial management?","Await paracetamol levels before further action","Gastric lavage","Give 50 g charcoal orally","No treatment required","Start N-acetylcysteine","Start N-acetylcysteine"
"A 6 year old girl has an itchy, red rash with yellow crusting on her face and neck. Her mother has tried non-prescription creams but the rash has continued to spread. She is otherwise well. Her temperature is 36.9°C. She has a yellow crusting on the sores around her mouth. Which is the most likely diagnosis?","Chickenpox","Fungal infection","Impetigo","Measles","Psoriasis","Impetigo"
"A 59 year old man has a painless enlarging neck lump for 6 months. He has a firm, mobile swelling measuring 2 cm at the angle of his jaw. Cranial nerves are unaffected. Which is the most likely diagnosis?","Ameloblastoma","Benign parotid tumour","Cystic hygroma","Lipoma","Tuberculous lymphadenitis","Benign parotid tumour"
"A 70 year old woman has lower abdominal pain for 5 days and is seen in the GP surgery. She feels unwell and has had episodes of shivering. Her temperature is 38.3°C, pulse rate 105 bpm, BP 115/65 mmHg, respiratory rate 24 breaths per minute and oxygen saturation 97% breathing air. There is a tender mass in the left iliac fossa. Which is the most likely diagnosis?","Diverticular abscess","Incarcerated inguinal hernia","Sigmoid carcinoma","Tubo-ovarian abscess","Uterine fibroid","Diverticular abscess"
"A 50 year old man wants to stop drinking alcohol and has been admitted to the inpatient ward for detoxification. He is alcohol dependant and his average alcohol intake is 84 units a week for 3 months. He has no other relevant medical history. Which is the most appropriate initial drug to prescribe?","Chlordiazepoxide","Clomethiazole","Disulfiram","Fluoxetine","Propranolol","Chlordiazepoxide"
"A 40 year old woman is found at home in a drowsy state and taken to the Emergency Department. She has had multiple Emergency Department admissions for severe and recurrent depression. Her pulse rate is 108 bpm. She is confused with dilated pupils, dry mucous membranes and a palpable bladder to the umbilicus. Which medication is most likely responsible for her clinical findings?","Amitriptyline","Fluoxetine","Lithium","Phenelzine","Venlafaxine","Amitriptyline"
"A 14 year old girl has cyclical central abdominal pain for 2 years and is seen in the GP surgery. She has never menstruated. She is of normal stature and has secondary sexual characteristics appropriate to her age. She has a pelvic mass on bimanual examination. Which is the most likely cause of this mass?","Fibroid","Haematocolpos","Hydronephrosis","Meckel diverticulum","Ovarian arrhenoblastoma","Haematocolpos"
"A 54 year old man has swelling of both ankles and is seen in the GP surgery. He has hypertension and takes amlodipine. His pulse rate is 92 bpm and BP 162/90 mmHg. His BMI is 41kg/m². His jugular venous pressure is not raised. Urinalysis shows no abnormality. He has pitting oedema of both ankles. Which is the most likely cause of his ankle swelling?","Drug side effect","Heart failure","Lymphoedema","Nephrotic syndrome","Obesity","Drug side effect"
"A 43 year old man has fallen twice when standing up from being seated. He has severe vomiting and diarrhoea for 3 days. He has a glioblastoma. He takes dexamethasone 6 mg daily and cyclizine 50 mg when needed. Investigations: Sodium 119 mmol/L (135–146), Potassium 5.5 mmol/L (3.5–5.3), Urea 14.2 mmol/L (2.5–7.8), Creatinine 118 micromol/L (60–120), Urine osmolality 400 mOsmol/kg, Urinary sodium 30 mmol/L, Serum osmolality 260 mOsmol/kg (285–295). Which is the most likely cause for these results?","Adrenal insufficiency","Dehydration","Medication side-effects","Stroke","Syndrome of inappropriate ADH secretion","Syndrome of inappropriate ADH secretion"
"A 5 year old boy has an episode of unconsciousness and is seen in the Emergency Department. He ran into his school desk, cried out in pain and then fell to the floor unconscious. He was limp and pale for 1 minute then his body became stiff and he started to shake. His eyes rolled back and he had froth foaming from his mouth. The episode lasted 2 minutes and he gradually started to regain consciousness. He had one previous similar episode following a cut to his finger. Neurological examination is normal. Which is the most likely diagnosis?","Absence seizure","Febrile convulsion","Hyperventilation","Reflex anoxic seizure","Tonic-clonic seizure","Reflex anoxic seizure"
"A 54 year old man is unable to grip effectively with his right hand following recovery from a general anaesthetic for bowel surgery. At the end of the procedure his right arm was found to be hanging over the edge of the operating table. There is weakness of extension of his right wrist and altered sensation over the dorsum of his first web space. Which is the most likely affected nerve?","Axillary","Median","Musculocutaneous","Radial","Ulnar","Radial"
"A 75 year old woman has three dizzy spells where she has collapsed to the floor in the past week. She does not lose consciousness and has no preceding warning symptoms. She has hypertension and ischaemic heart disease. She takes amlodipine, aspirin, atorvastatin and indapamide. Which is the most appropriate diagnostic investigation?","24 hour blood pressure monitoring","24 hour ECG monitoring","ECG","Echocardiogram","Postural blood pressure measurement","Postural blood pressure measurement"
"A 24 year old man has mild discomfort in his left scrotum for 4 months. He has noticed his scrotum is lower on the left than on the right, especially in the evenings. He has palpable structures in his left scrotum that feel worm-like. There is no tenderness on palpation. Which is the most appropriate next investigation?","Gram stained urethral smear","Midstream urine for culture and sensitivity","Scrotal exploration","Semen analysis","Ultrasound scan of scrotum","Ultrasound scan of scrotum"
"A 9 year old boy is treated for an exacerbation of his asthma in the Emergency Department. He has been given continuous salbutamol and ipratropium nebulisers. He was given oral prednisolone 1 hour ago. He is conscious and talking in full sentences. His pulse rate is 125 bpm, respiratory rate 30 breaths per minute and oxygen saturation 95% on 10 litres of oxygen. He has intercostal recession and has bilateral wheeze throughout both lung fields. Which is the most appropriate next management step?","Intravenous aminophylline infusion","Intravenous hydrocortisone bolus","Intravenous magnesium sulfate infusion","Intubate and ventilate","Nebulised adrenaline","Intravenous magnesium sulfate infusion"
"A 65 year old woman has low mood, hopelessness, anhedonia, poor concentration, low energy, insomnia, lack of appetite and suicidal ideation for 8 weeks. She takes long-term anticoagulant therapy with warfarin for atrial fibrillation. Which is the most appropriate management?","Amitriptyline","Cognitive behavioural therapy","Psychodynamic therapy","Sertraline","Zopiclone","Sertraline"
